Configuration,Baseline Accuracy,FAGS Accuracy,Accuracy Gain,Additional Search Cost,Efficiency Ratio,Gold Path Recovery Rate,Avg Hops Survived Post Revival
Bonus=0.00,2.60%,8.20%,5.60%,1034.36%,0.005,0.24%,1.25
Bonus=0.05,2.60%,7.60%,5.00%,1045.51%,0.005,0.47%,1.30
Bonus=0.10,2.60%,8.40%,5.80%,1050.52%,0.006,0.72%,1.00
Bonus=0.15,2.60%,9.00%,6.40%,1046.91%,0.006,0.00%,1.33
Bonus=0.20,2.60%,8.80%,6.20%,1009.39%,0.006,0.00%,1.00
