Configuration,Baseline Accuracy,FAGS Accuracy,Accuracy Gain,Additional Search Cost,Efficiency Ratio,Gold Path Recovery Rate,Avg Hops Survived Post Revival
K=0,2.60%,9.00%,6.40%,1069.75%,0.006,0.46%,1.44
K=1,2.60%,8.40%,5.80%,1049.84%,0.006,0.46%,1.29
K=2,2.60%,7.60%,5.00%,1103.02%,0.005,0.00%,1.30
K=3,2.60%,8.20%,5.60%,1042.39%,0.005,0.23%,1.43
K=5,2.60%,7.80%,5.20%,1077.52%,0.005,0.00%,1.00
